ym,dong,phase,0-19,20-39,40-59,60+
201705,이문2동,주간,1757.6958525345622,3029.1428571428573,3332.7972350230416,3514.6589861751154
201706,용신동,야간,3958.788888888889,13314.655555555555,10805.511111111111,10163.288888888888
201706,제기동,야간,3588.1666666666665,10461.155555555555,8028.944444444444,9407.922222222222
201706,전농1동,야간,5061.855555555556,11406.188888888888,10303.91111111111,9410.944444444443
201706,전농2동,야간,3180.0222222222224,4955.044444444445,5356.333333333333,4351.644444444444
201706,답십리1동,야간,3407.288888888889,7593.144444444445,7025.5,5338.577777777778
201706,답십리2동,야간,3536.944444444445,6810.877777777779,7945.5888888888885,6911.133333333334
201706,장안1동,야간,3436.3222222222225,10115.622222222222,9280.0,7432.099999999999
201706,장안2동,야간,4924.844444444444,9697.800000000001,9799.566666666668,7611.8
201706,청량리동,야간,2073.7000000000003,6016.8,5712.8,7079.188888888889
201706,회기동,야간,2607.077777777778,9811.177777777777,4576.7555555555555,4584.7555555555555
201706,휘경1동,야간,1987.2222222222224,6154.877777777779,3962.511111111111,4042.1777777777775
201706,휘경2동,야간,3397.2999999999997,7672.622222222221,5594.9111111111115,4715.711111111111
201706,이문1동,야간,4474.533333333334,14213.533333333333,7014.211111111112,6406.566666666667
201706,이문2동,야간,3225.1222222222223,5089.900000000001,5641.811111111111,4864.122222222222
201706,용신동,주간,4142.676190476191,15171.333333333332,15575.699999999999,14627.038095238095
201706,제기동,주간,3418.495238095238,10235.290476190477,9444.92857142857,12790.252380952381
201706,전농1동,주간,5803.6238095238095,11141.271428571428,11169.909523809523,12108.77619047619
201706,전농2동,주간,3892.4904761904763,5147.333333333334,3635.247619047619,3314.647619047619
201706,답십리1동,주간,2487.7380952380954,5185.276190476191,5671.904761904762,4805.7904761904765
201706,답십리2동,주간,2166.7238095238095,4771.885714285714,6105.533333333333,5434.914285714286
201706,장안1동,주간,2894.4761904761904,9543.523809523811,10387.061904761906,7748.704761904762
201706,장안2동,주간,4622.628571428571,7600.166666666666,8883.266666666666,6538.352380952381
201706,청량리동,주간,2456.8190476190475,7056.252380952382,7193.404761904762,9373.952380952382
201706,회기동,주간,4269.714285714285,10570.128571428571,5162.1809523809525,4492.161904761905
201706,휘경1동,주간,1896.895238095238,5823.490476190476,4297.719047619047,4719.128571428571
201706,휘경2동,주간,3835.957142857143,4990.114285714286,3797.9333333333334,3538.661904761905
201706,이문1동,주간,4022.6428571428573,14012.342857142856,5757.233333333333,5055.538095238096
201706,이문2동,주간,1592.9619047619049,2704.6095238095236,3112.504761904762,3307.0714285714284
201707,용신동,야간,3732.6236559139784,12753.473118279571,10048.623655913978,9373.064516129032
201707,제기동,야간,3524.247311827957,10256.258064516129,8541.94623655914,9799.774193548388
201707,전농1동,야간,4764.032258064516,10788.860215053764,9914.075268817205,8807.139784946236
201707,전농2동,야간,2891.139784946237,4648.548387096774,5341.064516129032,4362.8494623655915
201707,답십리1동,야간,3405.505376344086,7416.559139784946,6822.440860215054,5117.63440860215
201707,답십리2동,야간,3540.4193548387098,6845.784946236559,7926.752688172043,7008.548387096774
201707,장안1동,야간,3960.0967741935488,11452.010752688171,10351.870967741936,8395.10752688172
201707,장안2동,야간,4412.182795698925,9042.494623655914,9016.612903225807,7076.537634408603
201707,청량리동,야간,2051.2688172043013,5762.129032258064,5550.075268817204,6846.860215053764
201707,회기동,야간,2095.0,8654.752688172042,4392.731182795699,4541.032258064516
201707,휘경1동,야간,1974.2903225806451,5935.05376344086,3926.3548387096776,4034.935483870968
201707,휘경2동,야간,3078.795698924731,7368.559139784946,5595.978494623655,4649.967741935484
201707,이문1동,야간,3738.8924731182797,13117.387096774195,7169.612903225807,6455.225806451613
201707,이문2동,야간,3154.881720430107,5080.645161290323,5675.774193548387,4912.258064516129
201707,용신동,주간,4083.483870967742,15038.36866359447,15475.018433179723,13669.811059907834
201707,제기동,주간,3132.396313364055,9508.852534562213,9853.225806451612,13574.216589861751
201707,전농1동,주간,5589.801843317972,10649.649769585254,11071.410138248848,11756.119815668204
201707,전농2동,주간,3069.364055299539,4032.700460829493,3592.1751152073734,3331.774193548387
201707,답십리1동,주간,2609.470046082949,5239.880184331798,5706.921658986175,4851.529953917051
201707,답십리2동,주간,2317.4193548387098,4609.294930875576,5824.198156682028,5370.110599078341
201707,장안1동,주간,3057.013824884793,10237.705069124424,11192.336405529955,8252.0
201707,장안2동,주간,4899.387096774194,7745.069124423963,8916.271889400921,6821.258064516129
201707,청량리동,주간,2561.7235023041476,6981.589861751153,7232.714285714285,9247.115207373272
201707,회기동,주간,3099.26267281106,8669.239631336406,4988.433179723502,4508.4562211981565
201707,휘경1동,주간,1939.2119815668204,5730.147465437788,4311.350230414747,4682.705069124424
201707,휘경2동,주간,3295.1290322580644,4714.202764976959,3787.622119815668,3505.7327188940094
201707,이문1동,주간,3065.21198156682,11076.382488479261,5559.304147465438,5104.5115207373265
201707,이문2동,주간,1726.3917050691246,2688.3548387096776,3061.36866359447,3320.4792626728113
201708,용신동,야간,3718.204301075269,12536.387096774195,9944.903225806453,9302.408602150537
201708,제기동,야간,3553.548387096774,10177.47311827957,8540.20430107527,9722.698924731183
201708,전농1동,야간,4691.645161290323,10544.623655913978,9665.63440860215,8581.354838709678
201708,전농2동,야간,2941.021505376344,4559.129032258064,5145.397849462365,4344.182795698925
201708,답십리1동,야간,3521.956989247312,7245.139784946236,6705.870967741936,4999.763440860215
201708,답십리2동,야간,3444.6881720430106,6586.559139784946,7605.580645161291,6888.94623655914
201708,장안1동,야간,3806.225806451613,11123.913978494624,10035.913978494624,8191.795698924731
201708,장안2동,야간,4338.623655913979,9149.548387096775,9107.096774193547,7092.935483870967
201708,청량리동,야간,2022.6666666666667,5924.279569892474,5679.204301075269,7027.924731182796
201708,회기동,야간,2005.7096774193549,8382.451612903225,4256.494623655914,4337.978494623656
201708,휘경1동,야간,1873.1505376344085,5846.763440860214,3774.6666666666665,3797.021505376344
201708,휘경2동,야간,3011.247311827957,7363.301075268817,5528.849462365591,4632.430107526882
201708,이문1동,야간,3549.6559139784945,12787.075268817205,7010.344086021505,6256.892473118279
201708,이문2동,야간,2975.47311827957,4869.1612903225805,5423.774193548387,4760.247311827957
201708,용신동,주간,3948.442396313364,14556.875576036866,15006.15207373272,13114.317972350229
201708,제기동,주간,3055.700460829493,9528.304147465436,10061.930875576038,14220.304147465436
201708,전농1동,주간,5434.023041474655,10207.548387096775,10655.069124423962,11544.645161290322
201708,전농2동,주간,3110.8387096774195,3901.133640552995,3529.5806451612907,3388.5668202764978
201708,답십리1동,주간,2593.451612903226,4983.248847926267,5402.654377880184,4639.248847926267
201708,답십리2동,주간,2236.9124423963135,4404.829493087557,5566.645161290323,5191.082949308756
201708,장안1동,주간,2995.589861751152,9955.110599078342,11063.069124423962,8315.382488479263
201708,장안2동,주간,4773.917050691244,7694.018433179724,8836.382488479263,6764.755760368664
201708,청량리동,주간,2495.2027649769584,6915.179723502304,7246.599078341014,9377.271889400921
201708,회기동,주간,2710.746543778802,8295.179723502304,4747.26728110599,4333.1336405529955
201708,휘경1동,주간,1861.6820276497695,5621.668202764978,4144.511520737327,4584.350230414747
201708,휘경2동,주간,3186.589861751152,4688.119815668202,3711.778801843318,3514.6774193548385
201708,이문1동,주간,3145.815668202765,11169.493087557605,5607.57603686636,4993.202764976959
201708,이문2동,주간,1729.1382488479262,2517.3087557603685,2934.15668202765,3142.1290322580644
201709,용신동,야간,3948.855555555556,13106.933333333334,10427.4,9594.433333333332
201709,제기동,야간,3827.4555555555557,10728.055555555557,8763.488888888889,9997.711111111112
201709,전농1동,야간,4640.466666666666,10346.311111111112,9505.41111111111,8449.377777777778
201709,전농2동,야간,3100.866666666667,4648.733333333334,5273.7,4342.433333333333
201709,답십리1동,야간,3729.633333333333,7345.933333333333,6842.633333333334,5028.811111111111
201709,답십리2동,야간,3514.6111111111113,6650.688888888889,7769.655555555556,7003.966666666667
201709,장안1동,야간,4024.6666666666665,11335.4,10280.055555555557,8393.277777777777
201709,장안2동,야간,4381.577777777778,9076.144444444444,9022.777777777777,7077.933333333333
201709,청량리동,야간,2079.8777777777777,5847.011111111111,5726.5888888888885,6864.2555555555555
201709,회기동,야간,2470.4888888888886,9227.655555555555,4135.811111111111,4163.722222222222
201709,휘경1동,야간,2020.0111111111112,6466.555555555556,3910.4555555555557,3965.9
