code,y21,y25,dsale,dong,dpop
3130110,48569895074.0,50040326191.0,0.02982530813197517,11260570,-0.2133532096506597
3130111,114029689214.0,133182440085.0,0.15526107203229852,11260565,-0.004912424298352131
3130112,29763433564.0,54365888077.0,0.6024563213269861,11260575,-0.05583482915350511
3130113,28562376921.0,37314705209.0,0.267297130951606,11260690,-0.24878701440356643
3130115,72111068655.0,73875207728.0,0.024169736999182716,11260655,0.1248233798249012
3130116,463547357.0,965130050.0,0.7333543067117,11260680,-0.04500648624870741
3130117,44722500045.0,45836541453.0,0.024604889637700293,11290640,-0.024302764240907344
3130118,4069659898.0,2854716655.0,-0.3545868398189899,11290650,-0.05632342367037678
3130119,1144811628.0,1674810332.0,0.38045981779741556,11290630,-0.07767034779016109
3130120,37883897032.0,68435868030.0,0.5913709322105546,11290555,0.025716446617419897
3130121,4512414803.0,5724902771.0,0.23799312280548662,11290660,0.016295871810618846
3130122,127589693.0,70451825.0,-0.5938904488798216,11290715,0.20749428816510565
3130123,2429302791.0,6214979737.0,0.9393581657195996,11290760,0.05382581480581231
3130125,9548531283.0,7355140148.0,-0.2609879416448423,11290770,0.1076766423405193
3130126,292539380.0,125091015.0,-0.8495576977368681,11290810,-0.07756696940581977
3130128,8314758715.0,8490187344.0,0.020878972326719085,11290810,-0.07756696940581977
3130129,15948322345.0,13017331023.0,-0.20307201635317124,11305645,-0.09693639119782822
3130131,7832381694.0,15579272056.0,0.6876746771432158,11305534,-0.0582295522003617
3130132,21568765837.0,18634855076.0,-0.1462124861984666,11305534,-0.0582295522003617
3130134,14899425304.0,17854604113.0,0.1809387664617003,11305575,-0.1710815372914575
3130140,32253037293.0,18033375799.0,-0.5813879664106286,11305555,-0.18837952417994827
3130143,9272990296.0,8088409378.0,-0.13667380942154309,11305545,-0.05839202284046598
3130144,1755140260.0,53188321.0,-3.4964652107622785,11320660,-0.059253821245591434
3130145,7225502737.0,12391357243.0,0.5393824185102317,11320680,0.04247366833770076
3130146,69827052476.0,66203009946.0,-0.053295576599788674,11320680,0.04247366833770076
3130147,31118200291.0,39351935206.0,0.2347522865961677,11320511,-0.1201732719657682
3130148,57871146042.0,62173280470.0,0.07170641389214387,11320700,-0.20617709872385673
3130149,35076527349.0,32773403465.0,-0.06791485378439946,11320512,0.0892205287321508
3130150,17670105066.0,22079668479.0,0.22278297443401746,11320513,-0.10965625442755292
3130151,1764502299.0,4287689043.0,0.8878792361308443,11320521,-0.00791470570422215
3130152,1528898170.0,1520372055.0,-0.005592247712267788,11320522,-0.1149505225004629
3130153,32444557736.0,43676481185.0,0.29727705245115826,11320514,-0.06078243163585641
3130154,3160825427.0,2279313223.0,-0.32695902495645207,11350695,-0.10305747514935375
3130157,38568628254.0,39314464961.0,0.01915330983597126,11350670,-0.3257505704881206
3130159,39578448469.0,44288282648.0,0.11243540248722589,11350595,-0.12482037303299551
3130160,1443942025.0,2964367408.0,0.7192867657942645,11380650,0.31972573658788095
3130161,2110669590.0,3375253577.0,0.4694652170498831,11380640,0.04013856054284009
3130162,835608800.0,48337747.0,-2.849947794156993,11380640,0.04013856054284009
3130163,43444298451.0,45556053165.0,0.047463883256038994,11380600,-0.005332837868514813
3130165,17567696532.0,29376345689.0,0.5141279908335865,11380600,-0.005332837868514813
3130166,2555183516.0,3779801314.0,0.3915473985168006,11380590,-0.08235869383519402
3130167,128192154903.0,142023020130.0,0.10245880964406204,11380551,-0.3990061431676442
3130168,53334798242.0,66075917381.0,0.21421535110288933,11380530,-0.14613690466408974
3130169,16078116098.0,11737075815.0,-0.3147063942184822,11380570,0.46772412278022024
3130170,45321813482.0,47870327648.0,0.05470739751051381,11380570,0.46772412278022024
3130171,46064985929.0,50321755512.0,0.08838436164591086,11380520,-0.14924547197832905
3130172,29342374854.0,49716156960.0,0.5272972580358414,11410690,-0.5260983514654118
3130173,212673852.0,458315692.0,0.7677984495702039,11410700,0.054076325642632254
3130174,5678407811.0,5905967409.0,0.039292386547329,11410615,0.008355577147177431
3130175,9274318512.0,9580980961.0,0.03253085350579809,11410585,0.1360767256226117
3130176,24205132836.0,34827672299.0,0.3638475404636284,11410660,-0.0671432058801096
3130177,115906774320.0,160728000285.0,0.32692729871343623,11410640,-0.06653680433193775
3130178,4654567490.0,4089163184.0,-0.12950864478339547,11410585,0.1360767256226117
3130179,42643388826.0,45858410215.0,0.07268635879901056,11410585,0.1360767256226117
3130180,9830102963.0,10608458964.0,0.07620228987626067,11410660,-0.0671432058801096
3130181,17315120792.0,11034640313.0,-0.4505407099069124,11410555,0.18798469720066638
3130182,35886612488.0,38702268545.0,0.07553390230378547,11410520,-0.1281015799365803
3130183,60819368591.0,78698654421.0,0.25771775711024764,11440740,0.0348151952313304
3130184,4429333519.0,747961682.0,-1.7786526551529513,11440730,-0.05539286342641851
3130185,38282865129.0,46919863824.0,0.20343871106529443,11440700,-0.12156752755432802
3130186,42952335157.0,42676344589.0,-0.006446240314055407,11440690,-0.007455130154061596
3130189,2901481547.0,6647410725.0,0.8290059293695936,11440660,0.030874271485586805
3130190,65281263969.0,68805026184.0,0.05257172453228561,11440660,0.030874271485586805
3130191,103042867546.0,138403606162.0,0.2950290075142428,11440660,0.030874271485586805
3130192,714014587.0,17869870.0,-3.68778733772018,11440710,-0.207488986411827
3130194,36602508280.0,48909313356.0,0.28985106522454374,11440590,-0.1509733999285677
3130195,98971883314.0,134073576475.0,0.30355292456659966,11440585,-0.2851596749530339
3130196,12042115719.0,20476337326.0,0.5308597940609253,11440565,-0.05640427286782336
3130197,35981012435.0,32138835771.0,-0.11292623097801086,11440565,-0.05640427286782336
3130198,28649187143.0,24696119541.0,-0.1484789430975509,11440555,0.11857800829274386
3130199,660024884.0,1141285359.0,0.5476328767836056,11470580,-0.05505877403652402
3130200,2857676022.0,2928672264.0,0.02454045331642438,11470611,-0.09714982891453366
3130201,7013320465.0,5639593782.0,-0.21799922591331716,11470560,-0.1117229384702667
