ym,dong,hour,pop
201711,휘경1동,2,18017.4
201711,휘경2동,2,25016.5
201711,이문1동,2,35776.86666666667
201711,이문2동,2,20237.333333333332
201711,용신동,3,39340.933333333334
201711,제기동,3,34258.53333333333
201711,전농1동,3,33891.0
201711,전농2동,3,17855.666666666668
201711,답십리1동,3,24071.533333333333
201711,답십리2동,3,26215.5
201711,장안1동,3,35283.63333333333
201711,장안2동,3,30171.833333333332
201711,청량리동,3,21532.866666666665
201711,회기동,3,23173.966666666667
201711,휘경1동,3,18073.9
201711,휘경2동,3,25080.2
201711,이문1동,3,35831.666666666664
201711,이문2동,3,20163.6
201711,용신동,4,40283.3
201711,제기동,4,34663.2
201711,전농1동,4,33915.066666666666
201711,전농2동,4,17832.166666666668
201711,답십리1동,4,23926.9
201711,답십리2동,4,26428.966666666667
201711,장안1동,4,35310.2
201711,장안2동,4,30120.7
201711,청량리동,4,21582.933333333334
201711,회기동,4,23118.966666666667
201711,휘경1동,4,18271.233333333334
201711,휘경2동,4,24904.0
201711,이문1동,4,35796.0
201711,이문2동,4,20014.633333333335
201711,용신동,5,40768.7
201711,제기동,5,34770.8
201711,전농1동,5,34389.433333333334
201711,전농2동,5,17709.5
201711,답십리1동,5,24012.5
201711,답십리2동,5,25995.133333333335
201711,장안1동,5,35189.833333333336
201711,장안2동,5,29898.433333333334
201711,청량리동,5,21719.7
201711,회기동,5,23061.833333333332
201711,휘경1동,5,18635.2
201711,휘경2동,5,24781.833333333332
201711,이문1동,5,35792.2
201711,이문2동,5,19772.666666666668
201711,용신동,6,41408.2
201711,제기동,6,34984.6
201711,전농1동,6,34919.73333333333
201711,전농2동,6,17381.566666666666
201711,답십리1동,6,24072.233333333334
201711,답십리2동,6,25308.433333333334
201711,장안1동,6,34947.7
201711,장안2동,6,29384.733333333334
201711,청량리동,6,21745.3
201711,회기동,6,22921.8
201711,휘경1동,6,18963.7
201711,휘경2동,6,24480.066666666666
201711,이문1동,6,35484.833333333336
201711,이문2동,6,19335.666666666668
201711,용신동,7,43209.0
201711,제기동,7,35207.933333333334
201711,전농1동,7,36825.36666666667
201711,전농2동,7,17012.466666666667
201711,답십리1동,7,23174.133333333335
201711,답십리2동,7,23642.066666666666
201711,장안1동,7,34721.566666666666
201711,장안2동,7,28831.766666666666
201711,청량리동,7,22837.2
201711,회기동,7,24127.833333333332
201711,휘경1동,7,20867.933333333334
201711,휘경2동,7,23836.5
201711,이문1동,7,35051.53333333333
201711,이문2동,7,18103.033333333333
201711,용신동,8,47821.76666666667
201711,제기동,8,35836.13333333333
201711,전농1동,8,36751.166666666664
201711,전농2동,8,17065.966666666667
201711,답십리1동,8,21414.133333333335
201711,답십리2동,8,21643.466666666667
201711,장안1동,8,35402.76666666667
201711,장안2동,8,28380.8
201711,청량리동,8,23053.933333333334
201711,회기동,8,26060.733333333334
201711,휘경1동,8,19785.933333333334
201711,휘경2동,8,23156.733333333334
201711,이문1동,8,34684.73333333333
201711,이문2동,8,15476.133333333333
201711,용신동,9,50143.333333333336
201711,제기동,9,36336.8
201711,전농1동,9,36894.2
201711,전농2동,9,17425.966666666667
201711,답십리1동,9,20663.633333333335
201711,답십리2동,9,20781.166666666668
201711,장안1동,9,35001.9
201711,장안2동,9,28181.266666666666
201711,청량리동,9,23509.733333333334
201711,회기동,9,26765.066666666666
201711,휘경1동,9,19423.666666666668
201711,휘경2동,9,22054.733333333334
201711,이문1동,9,34322.86666666667
201711,이문2동,9,14038.333333333334
201711,용신동,10,51791.833333333336
201711,제기동,10,37299.96666666667
201711,전농1동,10,37104.13333333333
201711,전농2동,10,17726.533333333333
201711,답십리1동,10,20281.133333333335
201711,답십리2동,10,19924.833333333332
201711,장안1동,10,34763.0
201711,장안2동,10,28080.1
201711,청량리동,10,24032.533333333333
201711,회기동,10,27285.5
201711,휘경1동,10,19401.4
201711,휘경2동,10,21168.433333333334
201711,이문1동,10,35323.1
201711,이문2동,10,13031.3
201711,용신동,11,53018.46666666667
201711,제기동,11,38246.833333333336
201711,전농1동,11,37627.933333333334
201711,전농2동,11,17802.366666666665
201711,답십리1동,11,20003.333333333332
201711,답십리2동,11,19354.4
201711,장안1동,11,34809.166666666664
201711,장안2동,11,28428.9
201711,청량리동,11,24633.1
201711,회기동,11,27560.6
201711,휘경1동,11,18996.833333333332
201711,휘경2동,11,20425.566666666666
201711,이문1동,11,35354.333333333336
201711,이문2동,11,12208.166666666666
201711,용신동,12,54077.03333333333
201711,제기동,12,39059.7
201711,전농1동,12,38697.46666666667
201711,전농2동,12,17783.7
201711,답십리1동,12,19675.933333333334
201711,답십리2동,12,18810.266666666666
201711,장안1동,12,34758.666666666664
201711,장안2동,12,28918.666666666668
201711,청량리동,12,25074.066666666666
201711,회기동,12,27299.866666666665
201711,휘경1동,12,18980.3
201711,휘경2동,12,19756.466666666667
201711,이문1동,12,35349.9
201711,이문2동,12,11724.766666666666
201711,용신동,13,54715.76666666667
201711,제기동,13,40082.0
201711,전농1동,13,39601.3
201711,전농2동,13,17756.733333333334
201711,답십리1동,13,19452.0
201711,답십리2동,13,18473.933333333334
201711,장안1동,13,34434.8
201711,장안2동,13,28993.7
201711,청량리동,13,25604.933333333334
201711,회기동,13,27579.3
201711,휘경1동,13,18681.233333333334
201711,휘경2동,13,19230.466666666667
201711,이문1동,13,35410.23333333333
201711,이문2동,13,11431.3
201711,용신동,14,54808.4
201711,제기동,14,40477.26666666667
201711,전농1동,14,39790.46666666667
201711,전농2동,14,17841.2
201711,답십리1동,14,19342.633333333335
201711,답십리2동,14,18344.133333333335
201711,장안1동,14,34211.53333333333
201711,장안2동,14,29019.466666666667
201711,청량리동,14,25636.633333333335
201711,회기동,14,27310.166666666668
201711,휘경1동,14,18791.233333333334
201711,휘경2동,14,18982.466666666667
201711,이문1동,14,35861.73333333333
201711,이문2동,14,11209.866666666667
